;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20230530;14.501657116126768;71.8074938603672;97.91683779674894;25.74169219974272;21.03615015787627;32.479989474915214;5.798344053327096;7.644907028417728;7.595222780961291;9.328014267337156;4.110694655595837;6.231049000116946;16.16;39.15;11.41;14.62;0.07;0.03;POINT (-36.5 -6);POLYGON ((-36.625 -6.125, -36.375 -6.125, -36.375 -5.875, -36.625 -5.875, -36.625 -6.125))
20230530;15.216955911589288;71.07665068413053;99.77268155771256;26.892592679218804;22.521123845164308;32.93682610221027;5.824166764121155;7.655843760963631;7.561057186294001;9.287361712080456;4.057560519237516;6.123998362764588;17.9;38.08;11.39;14.21;0.15;0.05;POINT (-36.5 -5.75);POLYGON ((-36.625 -5.875, -36.375 -5.875, -36.375 -5.625, -36.625 -5.625, -36.625 -5.875))
20230530;15.216955911589288;71.07665068413053;99.77268155771256;26.892592679218804;22.521123845164308;32.93682610221027;5.824166764121155;7.655843760963631;7.561057186294001;9.287361712080456;4.057560519237516;6.123998362764588;17.9;38.08;11.39;14.21;0.15;0.05;POINT (-36.5 -5.5);POLYGON ((-36.625 -5.625, -36.375 -5.625, -36.375 -5.375, -36.625 -5.375, -36.625 -5.625))
20230530;16.728527657583907;74.58374225236814;100.8608969711145;27.349582504970176;24.91936498655128;30.51414337504385;6.709878376798035;8.09675944333996;7.880421003391416;9.438382645304642;5.540061981054848;6.836831949479593;21.52;33.61;12.02;14.55;0.07;0.14;POINT (-36.5 -5.25);POLYGON ((-36.625 -5.375, -36.375 -5.375, -36.375 -5.125, -36.625 -5.125, -36.625 -5.375))
20230530;16.728527657583907;74.58374225236814;100.8608969711145;27.349582504970176;24.91936498655128;30.51414337504385;6.709878376798035;8.09675944333996;7.880421003391416;9.438382645304642;5.540061981054848;6.836831949479593;21.52;33.61;12.02;14.55;0.07;0.14;POINT (-36.5 -5);POLYGON ((-36.625 -5.125, -36.375 -5.125, -36.375 -4.875, -36.625 -4.875, -36.625 -5.125))
20230530;14.501657116126768;71.8074938603672;97.91683779674894;25.74169219974272;21.03615015787627;32.479989474915214;5.798344053327096;7.644907028417728;7.595222780961291;9.328014267337156;4.110694655595837;6.231049000116946;16.16;39.15;11.41;14.62;0.07;0.03;POINT (-36.25 -6);POLYGON ((-36.375 -6.125, -36.125 -6.125, -36.125 -5.875, -36.375 -5.875, -36.375 -6.125))
20230530;15.216955911589288;71.07665068413053;99.77268155771256;26.892592679218804;22.521123845164308;32.93682610221027;5.824166764121155;7.655843760963631;7.561057186294001;9.287361712080456;4.057560519237516;6.123998362764588;17.9;38.08;11.39;14.21;0.15;0.05;POINT (-36.25 -5.75);POLYGON ((-36.375 -5.875, -36.125 -5.875, -36.125 -5.625, -36.375 -5.625, -36.375 -5.875))
20230530;15.216955911589288;71.07665068413053;99.77268155771256;26.892592679218804;22.521123845164308;32.93682610221027;5.824166764121155;7.655843760963631;7.561057186294001;9.287361712080456;4.057560519237516;6.123998362764588;17.9;38.08;11.39;14.21;0.15;0.05;POINT (-36.25 -5.5);POLYGON ((-36.375 -5.625, -36.125 -5.625, -36.125 -5.375, -36.375 -5.375, -36.375 -5.625))
20230530;16.728527657583907;74.58374225236814;100.8608969711145;27.349582504970176;24.91936498655128;30.51414337504385;6.709878376798035;8.09675944333996;7.880421003391416;9.438382645304642;5.540061981054848;6.836831949479593;21.52;33.61;12.02;14.55;0.07;0.14;POINT (-36.25 -5.25);POLYGON ((-36.375 -5.375, -36.125 -5.375, -36.125 -5.125, -36.375 -5.125, -36.375 -5.375))
20230530;16.728527657583907;74.58374225236814;100.8608969711145;27.349582504970176;24.91936498655128;30.51414337504385;6.709878376798035;8.09675944333996;7.880421003391416;9.438382645304642;5.540061981054848;6.836831949479593;21.52;33.61;12.02;14.55;0.07;0.14;POINT (-36.25 -5);POLYGON ((-36.375 -5.125, -36.125 -5.125, -36.125 -4.875, -36.375 -4.875, -36.375 -5.125))
20230530;14.501657116126768;71.8074938603672;97.91683779674894;25.74169219974272;21.03615015787627;32.479989474915214;5.798344053327096;7.644907028417728;7.595222780961291;9.328014267337156;4.110694655595837;6.231049000116946;16.16;39.15;11.41;14.62;0.07;0.03;POINT (-36 -6);POLYGON ((-36.125 -6.125, -35.875 -6.125, -35.875 -5.875, -36.125 -5.875, -36.125 -6.125))
20230530;15.216955911589288;71.07665068413053;99.77268155771256;26.892592679218804;22.521123845164308;32.93682610221027;5.824166764121155;7.655843760963631;7.561057186294001;9.287361712080456;4.057560519237516;6.123998362764588;17.9;38.08;11.39;14.21;0.15;0.05;POINT (-36 -5.75);POLYGON ((-36.125 -5.875, -35.875 -5.875, -35.875 -5.625, -36.125 -5.625, -36.125 -5.875))
20230530;15.216955911589288;71.07665068413053;99.77268155771256;26.892592679218804;22.521123845164308;32.93682610221027;5.824166764121155;7.655843760963631;7.561057186294001;9.287361712080456;4.057560519237516;6.123998362764588;17.9;38.08;11.39;14.21;0.15;0.05;POINT (-36 -5.5);POLYGON ((-36.125 -5.625, -35.875 -5.625, -35.875 -5.375, -36.125 -5.375, -36.125 -5.625))
20230530;16.728527657583907;74.58374225236814;100.8608969711145;27.349582504970176;24.91936498655128;30.51414337504385;6.709878376798035;8.09675944333996;7.880421003391416;9.438382645304642;5.540061981054848;6.836831949479593;21.52;33.61;12.02;14.55;0.07;0.14;POINT (-36 -5.25);POLYGON ((-36.125 -5.375, -35.875 -5.375, -35.875 -5.125, -36.125 -5.125, -36.125 -5.375))
20230530;16.728527657583907;74.58374225236814;100.8608969711145;27.349582504970176;24.91936498655128;30.51414337504385;6.709878376798035;8.09675944333996;7.880421003391416;9.438382645304642;5.540061981054848;6.836831949479593;21.52;33.61;12.02;14.55;0.07;0.14;POINT (-36 -5);POLYGON ((-36.125 -5.125, -35.875 -5.125, -35.875 -4.875, -36.125 -4.875, -36.125 -5.125))
