;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20020731;14.328804347826088;70.69413043478261;98.87695652173912;25.886739130434783;20.53326086956522;32.88608695652174;4.735;6.717173913043479;6.734782608695652;8.55586956521739;2.99;5.0485869565217385;17.05;35.9;8.96;11.08;0.91;1.19;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20021031;11.638695652173912;55.09423913043479;98.81673913043478;27.4225;20.34054347826087;36.31858695652174;6.586630434782609;8.334239130434783;8.825760869565217;11.087173913043475;4.1475;5.901630434782609;17.59;38.77;10.52;13.28;1.33;1.52;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20030131;13.197391304347828;56.121956521739136;98.65445652173912;29.034891304347827;22.831304347826087;37.01826086956522;5.850978260869565;7.269673913043477;8.059347826086958;10.027282608695652;3.589782608695652;4.942717391304348;20.77;39.63;10.24;12.7;0.52;0.42;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20030430;15.88573033707865;73.49033707865169;98.61550561797752;26.889213483146065;22.084269662921347;33.34213483146067;3.9188764044943816;5.727415730337079;5.709550561797752;7.532584269662921;2.375505617977528;4.088651685393258;19.89;37.46;8.48;10.48;0.79;0.9;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20030731;13.805434782608694;67.37760869565217;98.83565217391303;26.189021739130432;20.489565217391306;33.584999999999994;5.098260869565218;7.007173913043478;6.997391304347826;8.857173913043479;3.388804347826087;5.3323913043478255;17.12;35.48;9.41;11.59;1.49;2.03;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20031031;11.809021739130436;54.234456521739126;98.79880434782608;27.97119565217391;20.88869565217391;36.83641304347826;6.583152173913043;8.285108695652173;8.669239130434784;10.927717391304348;4.226413043478261;5.923043478260869;18.21;39.35;10.26;12.77;1.89;3.18;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20040131;13.813152173913045;59.37967391304348;98.54097826086957;28.80989130434783;23.01619565217391;36.35695652173913;5.74554347826087;7.197934782608696;7.850434782608696;9.79641304347826;3.648478260869565;5.059347826086956;21.08;39.72;10.2;12.73;1.3;1.52;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20040430;16.528444444444442;79.87877777777778;98.6068888888889;25.787;21.313777777777776;31.46433333333333;4.147;6.223222222222223;6.0968888888888895;7.839222222222222;2.7136666666666667;4.803444444444445;18.81;33.04;8.09;10.25;0.96;1.29;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20040731;14.663695652173912;73.70391304347827;98.87728260869564;25.445;20.476086956521737;32.03445652173913;4.719130434782609;6.756195652173914;6.75;8.552934782608697;3.0020652173913045;5.172391304347826;17.37;34.58;10.47;13.41;1.77;3.0;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20041031;12.103369565217392;56.32815217391304;98.81521739130434;27.617717391304343;20.79358695652174;36.35173913043479;6.61804347826087;8.34608695652174;8.801521739130434;10.94891304347826;4.3673913043478265;6.141956521739131;17.96;38.47;10.79;13.4;1.27;1.43;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
