;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20050731;15.142375690607734;70.76707182320442;98.70480662983424;26.83779005524862;21.75;33.553756906077346;4.688066298342541;6.605027624309392;6.684419889502761;8.594806629834254;2.874254143646409;4.803756906077348;17.37;40.12;9.37;12.03;0.91;1.47;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20060131;12.511358695652175;57.10358695652174;98.66722826086956;27.877717391304348;21.244728260869568;36.35260869565217;6.4725;8.130760869565217;8.473641304347826;10.519021739130435;4.245815217391304;5.970978260869566;17.77;39.94;10.23;12.98;2.49;2.99;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20060731;15.55988950276243;75.18662983425415;98.6986187845304;26.060552486187845;21.372596685082872;32.17839779005525;4.1255248618784535;6.058232044198895;6.049060773480663;7.976906077348066;2.574364640883978;4.412209944751381;17.12;39.36;9.96;12.45;0.05;0.1;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20070131;12.697826086956525;56.80733695652174;98.69;28.20021739130435;21.585217391304347;36.59146739130435;6.130108695652174;7.728423913043478;8.16288043478261;10.125434782608696;3.8840760869565214;5.548532608695652;17.68;39.84;9.73;11.92;0.66;0.84;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20070731;14.88707182320442;71.03226519337016;98.72265193370166;26.43701657458564;21.290165745856356;33.19817679558011;4.6496132596685085;6.5568508287292815;6.650552486187845;8.417624309392265;2.88;4.906850828729282;17.44;38.98;9.83;12.05;0.36;0.62;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20080131;12.430869565217392;56.89711956521739;98.65994565217392;27.80576086956522;21.27173913043478;36.19244565217391;6.567010869565217;8.237880434782609;8.674239130434783;10.785434782608696;4.307554347826087;5.980597826086957;17.69;39.25;10.87;13.18;1.82;2.17;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20080731;15.17565934065934;74.31373626373626;98.66785714285714;25.919835164835163;21.2117032967033;32.174505494505496;4.087307692307692;5.975164835164835;6.054230769230768;8.008186813186812;2.5065384615384616;4.255164835164835;16.65;39.09;9.65;12.14;0.23;0.16;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20090131;12.91695652173913;58.56635869565217;98.64141304347828;27.95619565217391;21.50880434782609;36.22059782608696;6.132554347826088;7.830380434782609;8.072554347826086;10.120326086956522;4.0101630434782605;5.815489130434782;17.48;38.97;10.34;12.85;0.26;0.32;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20090731;16.401602209944752;81.65165745856353;98.69038674033148;25.3260773480663;21.358950276243093;30.532596685082872;3.532872928176796;5.360773480662983;5.276906077348066;7.046187845303867;2.179502762430939;3.8560773480662975;17.9;36.21;8.53;10.86;0.09;0.16;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20100131;13.80967391304348;65.50179347826086;98.69391304347826;26.90771739130435;20.970489130434785;34.51320652173913;5.517826086956521;7.226032608695652;7.475978260869565;9.291576086956525;3.3870108695652177;5.417608695652175;17.35;38.11;9.52;12.12;0.48;0.81;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
