,center_point,envelope,Nome_Munic,geometry
1153,POINT (-36.615 -7.903),"POLYGON ((-36.64 -7.928, -36.59 -7.928, -36.59 -7.877999999999999, -36.64 -7.877999999999999, -36.64 -7.928))",Camalaú,"POLYGON ((-36.64 -7.877999999999999, -36.59 -7.877999999999999, -36.59 -7.928, -36.64 -7.928, -36.64 -7.877999999999999))"
1154,POINT (-36.615 -7.853),"POLYGON ((-36.64 -7.878, -36.59 -7.878, -36.59 -7.827999999999999, -36.64 -7.827999999999999, -36.64 -7.878))",Congo,"POLYGON ((-36.64 -7.827999999999999, -36.59 -7.827999999999999, -36.59 -7.878, -36.64 -7.878, -36.64 -7.827999999999999))"
1155,POINT (-36.615 -7.803),"POLYGON ((-36.64 -7.828, -36.59 -7.828, -36.59 -7.778, -36.64 -7.778, -36.64 -7.828))",Congo,"POLYGON ((-36.64 -7.778, -36.59 -7.778, -36.59 -7.828, -36.64 -7.828, -36.64 -7.778))"
1156,POINT (-36.615 -7.753),"POLYGON ((-36.64 -7.7780000000000005, -36.59 -7.7780000000000005, -36.59 -7.728, -36.64 -7.728, -36.64 -7.7780000000000005))",Caraúbas,"POLYGON ((-36.64 -7.728, -36.59 -7.728, -36.59 -7.7780000000000005, -36.64 -7.7780000000000005, -36.64 -7.728))"
1157,POINT (-36.615 -7.703),"POLYGON ((-36.64 -7.728000000000001, -36.59 -7.728000000000001, -36.59 -7.678, -36.64 -7.678, -36.64 -7.728000000000001))",Caraúbas,"POLYGON ((-36.64 -7.678, -36.59 -7.678, -36.59 -7.728000000000001, -36.64 -7.728000000000001, -36.64 -7.678))"
1158,POINT (-36.615 -7.653),"POLYGON ((-36.64 -7.678, -36.59 -7.678, -36.59 -7.627999999999999, -36.64 -7.627999999999999, -36.64 -7.678))",Coxixola,"POLYGON ((-36.64 -7.627999999999999, -36.59 -7.627999999999999, -36.59 -7.678, -36.64 -7.678, -36.64 -7.627999999999999))"
1159,POINT (-36.615 -7.603),"POLYGON ((-36.64 -7.628, -36.59 -7.628, -36.59 -7.577999999999999, -36.64 -7.577999999999999, -36.64 -7.628))",Coxixola,"POLYGON ((-36.64 -7.577999999999999, -36.59 -7.577999999999999, -36.59 -7.628, -36.64 -7.628, -36.64 -7.577999999999999))"
1160,POINT (-36.615 -7.553),"POLYGON ((-36.64 -7.578, -36.59 -7.578, -36.59 -7.528, -36.64 -7.528, -36.64 -7.578))",São João do Cariri,"POLYGON ((-36.64 -7.528, -36.59 -7.528, -36.59 -7.578, -36.64 -7.578, -36.64 -7.528))"
1161,POINT (-36.615 -7.503),"POLYGON ((-36.64 -7.5280000000000005, -36.59 -7.5280000000000005, -36.59 -7.478, -36.64 -7.478, -36.64 -7.5280000000000005))",Serra Branca,"POLYGON ((-36.64 -7.478, -36.59 -7.478, -36.59 -7.5280000000000005, -36.64 -7.5280000000000005, -36.64 -7.478))"
1162,POINT (-36.615 -7.453),"POLYGON ((-36.64 -7.478000000000001, -36.59 -7.478000000000001, -36.59 -7.428, -36.64 -7.428, -36.64 -7.478000000000001))",São João do Cariri,"POLYGON ((-36.64 -7.428, -36.59 -7.428, -36.59 -7.478000000000001, -36.64 -7.478000000000001, -36.64 -7.428))"
1163,POINT (-36.615 -7.403),"POLYGON ((-36.64 -7.428, -36.59 -7.428, -36.59 -7.377999999999999, -36.64 -7.377999999999999, -36.64 -7.428))",Parari,"POLYGON ((-36.64 -7.377999999999999, -36.59 -7.377999999999999, -36.59 -7.428, -36.64 -7.428, -36.64 -7.377999999999999))"
1164,POINT (-36.615 -7.353),"POLYGON ((-36.64 -7.378, -36.59 -7.378, -36.59 -7.327999999999999, -36.64 -7.327999999999999, -36.64 -7.378))",Gurjão,"POLYGON ((-36.64 -7.327999999999999, -36.59 -7.327999999999999, -36.59 -7.378, -36.64 -7.378, -36.64 -7.327999999999999))"
1165,POINT (-36.615 -7.303),"POLYGON ((-36.64 -7.328, -36.59 -7.328, -36.59 -7.278, -36.64 -7.278, -36.64 -7.328))",Parari,"POLYGON ((-36.64 -7.278, -36.59 -7.278, -36.59 -7.328, -36.64 -7.328, -36.64 -7.278))"
1166,POINT (-36.615 -7.253),"POLYGON ((-36.64 -7.2780000000000005, -36.59 -7.2780000000000005, -36.59 -7.228, -36.64 -7.228, -36.64 -7.2780000000000005))",Santo André,"POLYGON ((-36.64 -7.228, -36.59 -7.228, -36.59 -7.2780000000000005, -36.64 -7.2780000000000005, -36.64 -7.228))"
1167,POINT (-36.615 -7.203),"POLYGON ((-36.64 -7.228000000000001, -36.59 -7.228000000000001, -36.59 -7.178, -36.64 -7.178, -36.64 -7.228000000000001))",Santo André,"POLYGON ((-36.64 -7.178, -36.59 -7.178, -36.59 -7.228000000000001, -36.64 -7.228000000000001, -36.64 -7.178))"
1168,POINT (-36.615 -7.153),"POLYGON ((-36.64 -7.178, -36.59 -7.178, -36.59 -7.127999999999999, -36.64 -7.127999999999999, -36.64 -7.178))",Juazeirinho,"POLYGON ((-36.64 -7.127999999999999, -36.59 -7.127999999999999, -36.59 -7.178, -36.64 -7.178, -36.64 -7.127999999999999))"
1169,POINT (-36.615 -7.103),"POLYGON ((-36.64 -7.128, -36.59 -7.128, -36.59 -7.077999999999999, -36.64 -7.077999999999999, -36.64 -7.128))",Juazeirinho,"POLYGON ((-36.64 -7.077999999999999, -36.59 -7.077999999999999, -36.59 -7.128, -36.64 -7.128, -36.64 -7.077999999999999))"
1170,POINT (-36.615 -7.053),"POLYGON ((-36.64 -7.078, -36.59 -7.078, -36.59 -7.028, -36.64 -7.028, -36.64 -7.078))",Juazeirinho,"POLYGON ((-36.64 -7.028, -36.59 -7.028, -36.59 -7.078, -36.64 -7.078, -36.64 -7.028))"
1171,POINT (-36.615 -7.003),"POLYGON ((-36.64 -7.0280000000000005, -36.59 -7.0280000000000005, -36.59 -6.978, -36.64 -6.978, -36.64 -7.0280000000000005))",Juazeirinho,"POLYGON ((-36.64 -6.978, -36.59 -6.978, -36.59 -7.0280000000000005, -36.64 -7.0280000000000005, -36.64 -6.978))"
1172,POINT (-36.615 -6.953),"POLYGON ((-36.64 -6.978000000000001, -36.59 -6.978000000000001, -36.59 -6.928, -36.64 -6.928, -36.64 -6.978000000000001))",Tenório,"POLYGON ((-36.63710999999785 -6.933399999998073, -36.61619999999857 -6.933609999998225, -36.60945999999785 -6.936429999997927, -36.603772059960555 -6.928, -36.59 -6.928, -36.59 -6.978000000000001, -36.64 -6.978000000000001, -36.64 -6.932476460123705, -36.63710999999785 -6.933399999998073))"
1173,POINT (-36.615 -6.903),"POLYGON ((-36.64 -6.928, -36.59 -6.928, -36.59 -6.877999999999999, -36.64 -6.877999999999999, -36.64 -6.928))",Tenório,"POLYGON ((-36.59 -6.907588662208548, -36.59 -6.928, -36.603772059960555 -6.928, -36.59 -6.907588662208548))"
1174,POINT (-36.565 -7.953),"POLYGON ((-36.589999999999996 -7.978000000000001, -36.54 -7.978000000000001, -36.54 -7.928, -36.589999999999996 -7.928, -36.589999999999996 -7.978000000000001))",Camalaú,"POLYGON ((-36.57224999999926 -7.935559999998077, -36.57963999999811 -7.948229999998148, -36.573849999998856 -7.951259999998001, -36.57286999999815 -7.955539999999019, -36.57643999999891 -7.95922999999857, -36.58651999999893 -7.958239999998113, -36.589999999999996 -7.956744796160746, -36.589999999999996 -7.928, -36.57429689189065 -7.928, -36.57224999999926 -7.935559999998077))"
1175,POINT (-36.565 -7.903),"POLYGON ((-36.589999999999996 -7.928, -36.54 -7.928, -36.54 -7.877999999999999, -36.589999999999996 -7.877999999999999, -36.589999999999996 -7.928))",Camalaú,"POLYGON ((-36.55167999999867 -7.898299999998926, -36.56836999999905 -7.902739999997721, -36.574469999997746 -7.907089999998789, -36.57785999999942 -7.914839999997639, -36.57429689189065 -7.928, -36.589999999999996 -7.928, -36.589999999999996 -7.877999999999999, -36.54 -7.877999999999999, -36.54 -7.900478263663886, -36.55167999999867 -7.898299999998926))"
1176,POINT (-36.565 -7.853),"POLYGON ((-36.589999999999996 -7.878, -36.54 -7.878, -36.54 -7.827999999999999, -36.589999999999996 -7.827999999999999, -36.589999999999996 -7.878))",Caraúbas,"POLYGON ((-36.589999999999996 -7.827999999999999, -36.54 -7.827999999999999, -36.54 -7.878, -36.589999999999996 -7.878, -36.589999999999996 -7.827999999999999))"
1177,POINT (-36.565 -7.803),"POLYGON ((-36.589999999999996 -7.828, -36.54 -7.828, -36.54 -7.778, -36.589999999999996 -7.778, -36.589999999999996 -7.828))",Caraúbas,"POLYGON ((-36.589999999999996 -7.778, -36.54 -7.778, -36.54 -7.828, -36.589999999999996 -7.828, -36.589999999999996 -7.778))"
1178,POINT (-36.565 -7.753),"POLYGON ((-36.589999999999996 -7.7780000000000005, -36.54 -7.7780000000000005, -36.54 -7.728, -36.589999999999996 -7.728, -36.589999999999996 -7.7780000000000005))",Caraúbas,"POLYGON ((-36.589999999999996 -7.728, -36.54 -7.728, -36.54 -7.7780000000000005, -36.589999999999996 -7.7780000000000005, -36.589999999999996 -7.728))"
1179,POINT (-36.565 -7.703),"POLYGON ((-36.589999999999996 -7.728000000000001, -36.54 -7.728000000000001, -36.54 -7.678, -36.589999999999996 -7.678, -36.589999999999996 -7.728000000000001))",Caraúbas,"POLYGON ((-36.589999999999996 -7.678, -36.54 -7.678, -36.54 -7.728000000000001, -36.589999999999996 -7.728000000000001, -36.589999999999996 -7.678))"
1180,POINT (-36.565 -7.653),"POLYGON ((-36.589999999999996 -7.678, -36.54 -7.678, -36.54 -7.627999999999999, -36.589999999999996 -7.627999999999999, -36.589999999999996 -7.678))",Caraúbas,"POLYGON ((-36.589999999999996 -7.627999999999999, -36.54 -7.627999999999999, -36.54 -7.678, -36.589999999999996 -7.678, -36.589999999999996 -7.627999999999999))"
1181,POINT (-36.565 -7.603),"POLYGON ((-36.589999999999996 -7.628, -36.54 -7.628, -36.54 -7.577999999999999, -36.589999999999996 -7.577999999999999, -36.589999999999996 -7.628))",Caraúbas,"POLYGON ((-36.589999999999996 -7.577999999999999, -36.54 -7.577999999999999, -36.54 -7.628, -36.589999999999996 -7.628, -36.589999999999996 -7.577999999999999))"
1182,POINT (-36.565 -7.553),"POLYGON ((-36.589999999999996 -7.578, -36.54 -7.578, -36.54 -7.528, -36.589999999999996 -7.528, -36.589999999999996 -7.578))",São João do Cariri,"POLYGON ((-36.589999999999996 -7.528, -36.54 -7.528, -36.54 -7.578, -36.589999999999996 -7.578, -36.589999999999996 -7.528))"
1183,POINT (-36.565 -7.503),"POLYGON ((-36.589999999999996 -7.5280000000000005, -36.54 -7.5280000000000005, -36.54 -7.478, -36.589999999999996 -7.478, -36.589999999999996 -7.5280000000000005))",São João do Cariri,"POLYGON ((-36.589999999999996 -7.478, -36.54 -7.478, -36.54 -7.5280000000000005, -36.589999999999996 -7.5280000000000005, -36.589999999999996 -7.478))"
1184,POINT (-36.565 -7.453),"POLYGON ((-36.589999999999996 -7.478000000000001, -36.54 -7.478000000000001, -36.54 -7.428, -36.589999999999996 -7.428, -36.589999999999996 -7.478000000000001))",São João do Cariri,"POLYGON ((-36.589999999999996 -7.428, -36.54 -7.428, -36.54 -7.478000000000001, -36.589999999999996 -7.478000000000001, -36.589999999999996 -7.428))"
1185,POINT (-36.565 -7.403),"POLYGON ((-36.589999999999996 -7.428, -36.54 -7.428, -36.54 -7.377999999999999, -36.589999999999996 -7.377999999999999, -36.589999999999996 -7.428))",São João do Cariri,"POLYGON ((-36.589999999999996 -7.377999999999999, -36.54 -7.377999999999999, -36.54 -7.428, -36.589999999999996 -7.428, -36.589999999999996 -7.377999999999999))"
1186,POINT (-36.565 -7.353),"POLYGON ((-36.589999999999996 -7.378, -36.54 -7.378, -36.54 -7.327999999999999, -36.589999999999996 -7.327999999999999, -36.589999999999996 -7.378))",Gurjão,"POLYGON ((-36.589999999999996 -7.327999999999999, -36.54 -7.327999999999999, -36.54 -7.378, -36.589999999999996 -7.378, -36.589999999999996 -7.327999999999999))"
1187,POINT (-36.565 -7.303),"POLYGON ((-36.589999999999996 -7.328, -36.54 -7.328, -36.54 -7.278, -36.589999999999996 -7.278, -36.589999999999996 -7.328))",Gurjão,"POLYGON ((-36.589999999999996 -7.278, -36.54 -7.278, -36.54 -7.328, -36.589999999999996 -7.328, -36.589999999999996 -7.278))"
1188,POINT (-36.565 -7.253),"POLYGON ((-36.589999999999996 -7.2780000000000005, -36.54 -7.2780000000000005, -36.54 -7.228, -36.589999999999996 -7.228, -36.589999999999996 -7.2780000000000005))",Gurjão,"POLYGON ((-36.589999999999996 -7.228, -36.54 -7.228, -36.54 -7.2780000000000005, -36.589999999999996 -7.2780000000000005, -36.589999999999996 -7.228))"
1189,POINT (-36.565 -7.203),"POLYGON ((-36.589999999999996 -7.228000000000001, -36.54 -7.228000000000001, -36.54 -7.178, -36.589999999999996 -7.178, -36.589999999999996 -7.228000000000001))",Gurjão,"POLYGON ((-36.589999999999996 -7.178, -36.54 -7.178, -36.54 -7.228000000000001, -36.589999999999996 -7.228000000000001, -36.589999999999996 -7.178))"
1190,POINT (-36.565 -7.153),"POLYGON ((-36.589999999999996 -7.178, -36.54 -7.178, -36.54 -7.127999999999999, -36.589999999999996 -7.127999999999999, -36.589999999999996 -7.178))",Juazeirinho,"POLYGON ((-36.589999999999996 -7.127999999999999, -36.54 -7.127999999999999, -36.54 -7.178, -36.589999999999996 -7.178, -36.589999999999996 -7.127999999999999))"
1191,POINT (-36.565 -7.103),"POLYGON ((-36.589999999999996 -7.128, -36.54 -7.128, -36.54 -7.077999999999999, -36.589999999999996 -7.077999999999999, -36.589999999999996 -7.128))",Juazeirinho,"POLYGON ((-36.589999999999996 -7.077999999999999, -36.54 -7.077999999999999, -36.54 -7.128, -36.589999999999996 -7.128, -36.589999999999996 -7.077999999999999))"
1192,POINT (-36.565 -7.053),"POLYGON ((-36.589999999999996 -7.078, -36.54 -7.078, -36.54 -7.028, -36.589999999999996 -7.028, -36.589999999999996 -7.078))",Juazeirinho,"POLYGON ((-36.589999999999996 -7.028, -36.54 -7.028, -36.54 -7.078, -36.589999999999996 -7.078, -36.589999999999996 -7.028))"
1193,POINT (-36.565 -7.003),"POLYGON ((-36.589999999999996 -7.0280000000000005, -36.54 -7.0280000000000005, -36.54 -6.978, -36.589999999999996 -6.978, -36.589999999999996 -7.0280000000000005))",Juazeirinho,"POLYGON ((-36.589999999999996 -6.978, -36.54 -6.978, -36.54 -7.0280000000000005, -36.589999999999996 -7.0280000000000005, -36.589999999999996 -6.978))"
1194,POINT (-36.565 -6.953),"POLYGON ((-36.589999999999996 -6.978000000000001, -36.54 -6.978000000000001, -36.54 -6.928, -36.589999999999996 -6.928, -36.589999999999996 -6.978000000000001))",Juazeirinho,"POLYGON ((-36.589999999999996 -6.928, -36.54 -6.928, -36.54 -6.978000000000001, -36.589999999999996 -6.978000000000001, -36.589999999999996 -6.928))"
1195,POINT (-36.565 -6.903),"POLYGON ((-36.589999999999996 -6.928, -36.54 -6.928, -36.54 -6.877999999999999, -36.589999999999996 -6.877999999999999, -36.589999999999996 -6.928))",Juazeirinho,"POLYGON ((-36.57003576079863 -6.877999999999999, -36.54 -6.877999999999999, -36.54 -6.928, -36.589999999999996 -6.928, -36.589999999999996 -6.907588662208537, -36.57003576079863 -6.877999999999999))"
1196,POINT (-36.565 -6.853),"POLYGON ((-36.589999999999996 -6.878, -36.54 -6.878, -36.54 -6.827999999999999, -36.589999999999996 -6.827999999999999, -36.589999999999996 -6.878))",Pedra Lavrada,"POLYGON ((-36.56759999999849 -6.874389999999039, -36.56645999999819 -6.866189999998824, -36.573739999998 -6.857049999998708, -36.5694599999988 -6.847609999998895, -36.55981999999858 -6.840369999998074, -36.543329999998605 -6.841699999999037, -36.54 -6.837864758621122, -36.54 -6.878, -36.57003576079863 -6.878, -36.56759999999849 -6.874389999999039))"
1197,POINT (-36.565 -6.753),"POLYGON ((-36.589999999999996 -6.7780000000000005, -36.54 -6.7780000000000005, -36.54 -6.728, -36.589999999999996 -6.728, -36.589999999999996 -6.7780000000000005))",Nova Palmeira,"POLYGON ((-36.543869999997696 -6.730799999999363, -36.545730751468525 -6.728, -36.54 -6.728, -36.54 -6.731625406920856, -36.543869999997696 -6.730799999999363))"
1198,POINT (-36.565 -6.703),"POLYGON ((-36.589999999999996 -6.728000000000001, -36.54 -6.728000000000001, -36.54 -6.678, -36.589999999999996 -6.678, -36.589999999999996 -6.728000000000001))",Nova Palmeira,"POLYGON ((-36.55854999999792 -6.708709999998973, -36.55700999999863 -6.705699999998615, -36.54707999999846 -6.694749999998749, -36.543815218286504 -6.678, -36.54 -6.678, -36.54 -6.728000000000001, -36.545730751468525 -6.728000000000001, -36.55854999999792 -6.708709999998973))"
1199,POINT (-36.565 -6.653),"POLYGON ((-36.589999999999996 -6.678, -36.54 -6.678, -36.54 -6.627999999999999, -36.589999999999996 -6.627999999999999, -36.589999999999996 -6.678))",Nova Palmeira,"POLYGON ((-36.541409999997995 -6.665659999998752, -36.54 -6.66193625714672, -36.54 -6.678, -36.543815218286504 -6.678, -36.541409999997995 -6.665659999998752))"
1200,POINT (-36.515 -7.903),"POLYGON ((-36.54 -7.928, -36.49 -7.928, -36.49 -7.877999999999999, -36.54 -7.877999999999999, -36.54 -7.928))",Caraúbas,"POLYGON ((-36.49904999999853 -7.919899999998961, -36.5125199999984 -7.914459999998144, -36.53612999999859 -7.901199999998425, -36.54 -7.900478263663886, -36.54 -7.877999999999999, -36.49 -7.877999999999999, -36.49 -7.915941126884671, -36.49904999999853 -7.919899999998961))"
1201,POINT (-36.515 -7.853),"POLYGON ((-36.54 -7.878, -36.49 -7.878, -36.49 -7.827999999999999, -36.54 -7.827999999999999, -36.54 -7.878))",Caraúbas,"POLYGON ((-36.54 -7.827999999999999, -36.49 -7.827999999999999, -36.49 -7.878, -36.54 -7.878, -36.54 -7.827999999999999))"
1202,POINT (-36.515 -7.803),"POLYGON ((-36.54 -7.828, -36.49 -7.828, -36.49 -7.778, -36.54 -7.778, -36.54 -7.828))",Caraúbas,"POLYGON ((-36.54 -7.778, -36.49 -7.778, -36.49 -7.828, -36.54 -7.828, -36.54 -7.778))"
1203,POINT (-36.515 -7.753),"POLYGON ((-36.54 -7.7780000000000005, -36.49 -7.7780000000000005, -36.49 -7.728, -36.54 -7.728, -36.54 -7.7780000000000005))",Caraúbas,"POLYGON ((-36.54 -7.728, -36.49 -7.728, -36.49 -7.7780000000000005, -36.54 -7.7780000000000005, -36.54 -7.728))"
1204,POINT (-36.515 -7.703),"POLYGON ((-36.54 -7.728000000000001, -36.49 -7.728000000000001, -36.49 -7.678, -36.54 -7.678, -36.54 -7.728000000000001))",Caraúbas,"POLYGON ((-36.54 -7.678, -36.49 -7.678, -36.49 -7.728000000000001, -36.54 -7.728000000000001, -36.54 -7.678))"
1205,POINT (-36.515 -7.653),"POLYGON ((-36.54 -7.678, -36.49 -7.678, -36.49 -7.627999999999999, -36.54 -7.627999999999999, -36.54 -7.678))",Caraúbas,"POLYGON ((-36.54 -7.627999999999999, -36.49 -7.627999999999999, -36.49 -7.678, -36.54 -7.678, -36.54 -7.627999999999999))"
1206,POINT (-36.515 -7.603),"POLYGON ((-36.54 -7.628, -36.49 -7.628, -36.49 -7.577999999999999, -36.54 -7.577999999999999, -36.54 -7.628))",São João do Cariri,"POLYGON ((-36.54 -7.577999999999999, -36.49 -7.577999999999999, -36.49 -7.628, -36.54 -7.628, -36.54 -7.577999999999999))"
1207,POINT (-36.515 -7.553),"POLYGON ((-36.54 -7.578, -36.49 -7.578, -36.49 -7.528, -36.54 -7.528, -36.54 -7.578))",São João do Cariri,"POLYGON ((-36.54 -7.528, -36.49 -7.528, -36.49 -7.578, -36.54 -7.578, -36.54 -7.528))"
1208,POINT (-36.515 -7.503),"POLYGON ((-36.54 -7.5280000000000005, -36.49 -7.5280000000000005, -36.49 -7.478, -36.54 -7.478, -36.54 -7.5280000000000005))",São João do Cariri,"POLYGON ((-36.54 -7.478, -36.49 -7.478, -36.49 -7.5280000000000005, -36.54 -7.5280000000000005, -36.54 -7.478))"
1209,POINT (-36.515 -7.453),"POLYGON ((-36.54 -7.478000000000001, -36.49 -7.478000000000001, -36.49 -7.428, -36.54 -7.428, -36.54 -7.478000000000001))",São João do Cariri,"POLYGON ((-36.54 -7.428, -36.49 -7.428, -36.49 -7.478000000000001, -36.54 -7.478000000000001, -36.54 -7.428))"
1210,POINT (-36.515 -7.403),"POLYGON ((-36.54 -7.428, -36.49 -7.428, -36.49 -7.377999999999999, -36.54 -7.377999999999999, -36.54 -7.428))",São João do Cariri,"POLYGON ((-36.54 -7.377999999999999, -36.49 -7.377999999999999, -36.49 -7.428, -36.54 -7.428, -36.54 -7.377999999999999))"
1211,POINT (-36.515 -7.353),"POLYGON ((-36.54 -7.378, -36.49 -7.378, -36.49 -7.327999999999999, -36.54 -7.327999999999999, -36.54 -7.378))",Gurjão,"POLYGON ((-36.54 -7.327999999999999, -36.49 -7.327999999999999, -36.49 -7.378, -36.54 -7.378, -36.54 -7.327999999999999))"
1212,POINT (-36.515 -7.303),"POLYGON ((-36.54 -7.328, -36.49 -7.328, -36.49 -7.278, -36.54 -7.278, -36.54 -7.328))",Gurjão,"POLYGON ((-36.54 -7.278, -36.49 -7.278, -36.49 -7.328, -36.54 -7.328, -36.54 -7.278))"
1213,POINT (-36.515 -7.253),"POLYGON ((-36.54 -7.2780000000000005, -36.49 -7.2780000000000005, -36.49 -7.228, -36.54 -7.228, -36.54 -7.2780000000000005))",Gurjão,"POLYGON ((-36.54 -7.228, -36.49 -7.228, -36.49 -7.2780000000000005, -36.54 -7.2780000000000005, -36.54 -7.228))"
1214,POINT (-36.515 -7.203),"POLYGON ((-36.54 -7.228000000000001, -36.49 -7.228000000000001, -36.49 -7.178, -36.54 -7.178, -36.54 -7.228000000000001))",Gurjão,"POLYGON ((-36.54 -7.178, -36.49 -7.178, -36.49 -7.228000000000001, -36.54 -7.228000000000001, -36.54 -7.178))"
1215,POINT (-36.515 -7.153),"POLYGON ((-36.54 -7.178, -36.49 -7.178, -36.49 -7.127999999999999, -36.54 -7.127999999999999, -36.54 -7.178))",Juazeirinho,"POLYGON ((-36.54 -7.127999999999999, -36.49 -7.127999999999999, -36.49 -7.178, -36.54 -7.178, -36.54 -7.127999999999999))"
1216,POINT (-36.515 -7.103),"POLYGON ((-36.54 -7.128, -36.49 -7.128, -36.49 -7.077999999999999, -36.54 -7.077999999999999, -36.54 -7.128))",Juazeirinho,"POLYGON ((-36.54 -7.077999999999999, -36.49 -7.077999999999999, -36.49 -7.128, -36.54 -7.128, -36.54 -7.077999999999999))"
1217,POINT (-36.515 -7.053),"POLYGON ((-36.54 -7.078, -36.49 -7.078, -36.49 -7.028, -36.54 -7.028, -36.54 -7.078))",Juazeirinho,"POLYGON ((-36.54 -7.028, -36.49 -7.028, -36.49 -7.078, -36.54 -7.078, -36.54 -7.028))"
1218,POINT (-36.515 -7.003),"POLYGON ((-36.54 -7.0280000000000005, -36.49 -7.0280000000000005, -36.49 -6.978, -36.54 -6.978, -36.54 -7.0280000000000005))",Juazeirinho,"POLYGON ((-36.54 -6.978, -36.49 -6.978, -36.49 -7.0280000000000005, -36.54 -7.0280000000000005, -36.54 -6.978))"
1219,POINT (-36.515 -6.953),"POLYGON ((-36.54 -6.978000000000001, -36.49 -6.978000000000001, -36.49 -6.928, -36.54 -6.928, -36.54 -6.978000000000001))",Juazeirinho,"POLYGON ((-36.54 -6.928, -36.49 -6.928, -36.49 -6.978000000000001, -36.54 -6.978000000000001, -36.54 -6.928))"
1220,POINT (-36.515 -6.903),"POLYGON ((-36.54 -6.928, -36.49 -6.928, -36.49 -6.877999999999999, -36.54 -6.877999999999999, -36.54 -6.928))",Juazeirinho,"POLYGON ((-36.54 -6.877999999999999, -36.49 -6.877999999999999, -36.49 -6.928, -36.54 -6.928, -36.54 -6.877999999999999))"
1221,POINT (-36.515 -6.853),"POLYGON ((-36.54 -6.878, -36.49 -6.878, -36.49 -6.827999999999999, -36.54 -6.827999999999999, -36.54 -6.878))",Pedra Lavrada,"POLYGON ((-36.531434790419254 -6.827999999999999, -36.49 -6.827999999999999, -36.49 -6.878, -36.54 -6.878, -36.54 -6.837864758621122, -36.531434790419254 -6.827999999999999))"
1222,POINT (-36.515 -6.803),"POLYGON ((-36.54 -6.828, -36.49 -6.828, -36.49 -6.778, -36.54 -6.778, -36.54 -6.828))",Pedra Lavrada,"POLYGON ((-36.52882999999929 -6.824999999998909, -36.50962999999865 -6.817549999997937, -36.505159999998796 -6.808419999999387, -36.50108128639921 -6.778, -36.49 -6.778, -36.49 -6.828, -36.531434790419254 -6.828, -36.52882999999929 -6.824999999998909))"
1223,POINT (-36.515 -6.753),"POLYGON ((-36.54 -6.7780000000000005, -36.49 -6.7780000000000005, -36.49 -6.728, -36.54 -6.728, -36.54 -6.7780000000000005))",Nova Palmeira,"POLYGON ((-36.50096999999914 -6.777169999999387, -36.50442 -6.753539999997884, -36.520229999998264 -6.745279999999184, -36.52488 -6.736319999998159, -36.53317999999854 -6.733079999998154, -36.54 -6.731625406920856, -36.54 -6.728, -36.49 -6.728, -36.49 -6.7780000000000005, -36.50108128639921 -6.7780000000000005, -36.50096999999914 -6.777169999999387))"
1224,POINT (-36.515 -6.703),"POLYGON ((-36.54 -6.728000000000001, -36.49 -6.728000000000001, -36.49 -6.678, -36.54 -6.678, -36.54 -6.728000000000001))",Nova Palmeira,"POLYGON ((-36.54 -6.678, -36.49 -6.678, -36.49 -6.728000000000001, -36.54 -6.728000000000001, -36.54 -6.678))"
1225,POINT (-36.515 -6.653),"POLYGON ((-36.54 -6.678, -36.49 -6.678, -36.49 -6.627999999999999, -36.54 -6.627999999999999, -36.54 -6.678))",Nova Palmeira,"POLYGON ((-36.527149992786754 -6.627999999999999, -36.49 -6.627999999999999, -36.49 -6.678, -36.54 -6.678, -36.54 -6.66193625714672, -36.527149992786754 -6.627999999999999))"
1226,POINT (-36.515 -6.603),"POLYGON ((-36.54 -6.628, -36.49 -6.628, -36.49 -6.577999999999999, -36.54 -6.577999999999999, -36.54 -6.628))",Nova Palmeira,"POLYGON ((-36.520409999999174 -6.610199999999168, -36.52317999999832 -6.601799999998548, -36.52157999999872 -6.596689999998489, -36.5134799999978 -6.593989999999394, -36.507629999998244 -6.595049999998082, -36.501579999998285 -6.601079999998547, -36.49 -6.606346598661411, -36.49 -6.628, -36.527149992786754 -6.628, -36.520409999999174 -6.610199999999168))"
1227,POINT (-36.515 -6.503),"POLYGON ((-36.54 -6.5280000000000005, -36.49 -6.5280000000000005, -36.49 -6.478, -36.54 -6.478, -36.54 -6.5280000000000005))",Frei Martinho,"POLYGON ((-36.51893999999811 -6.502149999998437, -36.52550999999767 -6.500759999998991, -36.52787999999782 -6.478879999998753, -36.528188295299614 -6.478, -36.49 -6.478, -36.49 -6.515569503272635, -36.51893999999811 -6.502149999998437))"
1228,POINT (-36.515 -6.453),"POLYGON ((-36.54 -6.478000000000001, -36.49 -6.478000000000001, -36.49 -6.428, -36.54 -6.428, -36.54 -6.478000000000001))",Frei Martinho,"POLYGON ((-36.53049 -6.471429999997781, -36.53063999999904 -6.451669999998558, -36.51994179788216 -6.428, -36.49 -6.428, -36.49 -6.478000000000001, -36.528188295299614 -6.478000000000001, -36.53049 -6.471429999997781))"
1229,POINT (-36.515 -6.403),"POLYGON ((-36.54 -6.428, -36.49 -6.428, -36.49 -6.377999999999999, -36.54 -6.377999999999999, -36.54 -6.428))",Frei Martinho,"POLYGON ((-36.5071599999992 -6.399719999999434, -36.504039999997985 -6.386049999999159, -36.502750519800074 -6.377999999999999, -36.49 -6.377999999999999, -36.49 -6.428, -36.51994179788216 -6.428, -36.5071599999992 -6.399719999999434))"
