,center_point,envelope,Nome_Munic,geometry
452,POINT (-37.865 -7.653),"POLYGON ((-37.89 -7.678, -37.84 -7.678, -37.84 -7.627999999999999, -37.89 -7.627999999999999, -37.89 -7.678))",Tavares,"POLYGON ((-37.84355999999934 -7.646759999997812, -37.856809999999314 -7.651559999998426, -37.869299999998475 -7.66715, -37.876683934119654 -7.678, -37.89 -7.678, -37.89 -7.627999999999999, -37.84 -7.627999999999999, -37.84 -7.646442036725869, -37.84355999999934 -7.646759999997812))"
453,POINT (-37.865 -7.603),"POLYGON ((-37.89 -7.628, -37.84 -7.628, -37.84 -7.577999999999999, -37.89 -7.577999999999999, -37.89 -7.628))",Juru,"POLYGON ((-37.89 -7.577999999999999, -37.84 -7.577999999999999, -37.84 -7.628, -37.89 -7.628, -37.89 -7.577999999999999))"
454,POINT (-37.865 -7.553),"POLYGON ((-37.89 -7.578, -37.84 -7.578, -37.84 -7.528, -37.89 -7.528, -37.89 -7.578))",Juru,"POLYGON ((-37.89 -7.528, -37.84 -7.528, -37.84 -7.578, -37.89 -7.578, -37.89 -7.528))"
455,POINT (-37.865 -7.503),"POLYGON ((-37.89 -7.5280000000000005, -37.84 -7.5280000000000005, -37.84 -7.478, -37.89 -7.478, -37.89 -7.5280000000000005))",Juru,"POLYGON ((-37.89 -7.478, -37.84 -7.478, -37.84 -7.5280000000000005, -37.89 -7.5280000000000005, -37.89 -7.478))"
456,POINT (-37.865 -7.453),"POLYGON ((-37.89 -7.478000000000001, -37.84 -7.478000000000001, -37.84 -7.428, -37.89 -7.428, -37.89 -7.478000000000001))",Juru,"POLYGON ((-37.89 -7.428, -37.84 -7.428, -37.84 -7.478000000000001, -37.89 -7.478000000000001, -37.89 -7.428))"
457,POINT (-37.865 -7.403),"POLYGON ((-37.89 -7.428, -37.84 -7.428, -37.84 -7.377999999999999, -37.89 -7.377999999999999, -37.89 -7.428))",Juru,"POLYGON ((-37.89 -7.377999999999999, -37.84 -7.377999999999999, -37.84 -7.428, -37.89 -7.428, -37.89 -7.377999999999999))"
458,POINT (-37.865 -7.353),"POLYGON ((-37.89 -7.378, -37.84 -7.378, -37.84 -7.327999999999999, -37.89 -7.327999999999999, -37.89 -7.378))",Olho d'Água,"POLYGON ((-37.89 -7.327999999999999, -37.84 -7.327999999999999, -37.84 -7.378, -37.89 -7.378, -37.89 -7.327999999999999))"
459,POINT (-37.865 -7.303),"POLYGON ((-37.89 -7.328, -37.84 -7.328, -37.84 -7.278, -37.89 -7.278, -37.89 -7.328))",Olho d'Água,"POLYGON ((-37.89 -7.278, -37.84 -7.278, -37.84 -7.328, -37.89 -7.328, -37.89 -7.278))"
460,POINT (-37.865 -7.253),"POLYGON ((-37.89 -7.2780000000000005, -37.84 -7.2780000000000005, -37.84 -7.228, -37.89 -7.228, -37.89 -7.2780000000000005))",Olho d'Água,"POLYGON ((-37.89 -7.228, -37.84 -7.228, -37.84 -7.2780000000000005, -37.89 -7.2780000000000005, -37.89 -7.228))"
461,POINT (-37.865 -7.203),"POLYGON ((-37.89 -7.228000000000001, -37.84 -7.228000000000001, -37.84 -7.178, -37.89 -7.178, -37.89 -7.228000000000001))",Piancó,"POLYGON ((-37.89 -7.178, -37.84 -7.178, -37.84 -7.228000000000001, -37.89 -7.228000000000001, -37.89 -7.178))"
462,POINT (-37.865 -7.153),"POLYGON ((-37.89 -7.178, -37.84 -7.178, -37.84 -7.127999999999999, -37.89 -7.127999999999999, -37.89 -7.178))",Piancó,"POLYGON ((-37.89 -7.127999999999999, -37.84 -7.127999999999999, -37.84 -7.178, -37.89 -7.178, -37.89 -7.127999999999999))"
463,POINT (-37.865 -7.103),"POLYGON ((-37.89 -7.128, -37.84 -7.128, -37.84 -7.077999999999999, -37.89 -7.077999999999999, -37.89 -7.128))",Coremas,"POLYGON ((-37.89 -7.077999999999999, -37.84 -7.077999999999999, -37.84 -7.128, -37.89 -7.128, -37.89 -7.077999999999999))"
464,POINT (-37.865 -7.053),"POLYGON ((-37.89 -7.078, -37.84 -7.078, -37.84 -7.028, -37.89 -7.028, -37.89 -7.078))",Coremas,"POLYGON ((-37.89 -7.028, -37.84 -7.028, -37.84 -7.078, -37.89 -7.078, -37.89 -7.028))"
465,POINT (-37.865 -7.003),"POLYGON ((-37.89 -7.0280000000000005, -37.84 -7.0280000000000005, -37.84 -6.978, -37.89 -6.978, -37.89 -7.0280000000000005))",Cajazeirinhas,"POLYGON ((-37.89 -6.978, -37.84 -6.978, -37.84 -7.0280000000000005, -37.89 -7.0280000000000005, -37.89 -6.978))"
466,POINT (-37.865 -6.953),"POLYGON ((-37.89 -6.978000000000001, -37.84 -6.978000000000001, -37.84 -6.928, -37.89 -6.928, -37.89 -6.978000000000001))",Cajazeirinhas,"POLYGON ((-37.89 -6.928, -37.84 -6.928, -37.84 -6.978000000000001, -37.89 -6.978000000000001, -37.89 -6.928))"
467,POINT (-37.865 -6.903),"POLYGON ((-37.89 -6.928, -37.84 -6.928, -37.84 -6.877999999999999, -37.89 -6.877999999999999, -37.89 -6.928))",Cajazeirinhas,"POLYGON ((-37.89 -6.877999999999999, -37.84 -6.877999999999999, -37.84 -6.928, -37.89 -6.928, -37.89 -6.877999999999999))"
468,POINT (-37.865 -6.853),"POLYGON ((-37.89 -6.878, -37.84 -6.878, -37.84 -6.827999999999999, -37.89 -6.827999999999999, -37.89 -6.878))",Cajazeirinhas,"POLYGON ((-37.89 -6.827999999999999, -37.84 -6.827999999999999, -37.84 -6.878, -37.89 -6.878, -37.89 -6.827999999999999))"
469,POINT (-37.865 -6.803),"POLYGON ((-37.89 -6.828, -37.84 -6.828, -37.84 -6.778, -37.89 -6.778, -37.89 -6.828))",Pombal,"POLYGON ((-37.89 -6.778, -37.84 -6.778, -37.84 -6.828, -37.89 -6.828, -37.89 -6.778))"
470,POINT (-37.865 -6.753),"POLYGON ((-37.89 -6.7780000000000005, -37.84 -6.7780000000000005, -37.84 -6.728, -37.89 -6.728, -37.89 -6.7780000000000005))",Pombal,"POLYGON ((-37.89 -6.728, -37.84 -6.728, -37.84 -6.7780000000000005, -37.89 -6.7780000000000005, -37.89 -6.728))"
471,POINT (-37.865 -6.703),"POLYGON ((-37.89 -6.728000000000001, -37.84 -6.728000000000001, -37.84 -6.678, -37.89 -6.678, -37.89 -6.728000000000001))",Pombal,"POLYGON ((-37.89 -6.678, -37.84 -6.678, -37.84 -6.728000000000001, -37.89 -6.728000000000001, -37.89 -6.678))"
472,POINT (-37.865 -6.653),"POLYGON ((-37.89 -6.678, -37.84 -6.678, -37.84 -6.627999999999999, -37.89 -6.627999999999999, -37.89 -6.678))",Lagoa,"POLYGON ((-37.89 -6.627999999999999, -37.84 -6.627999999999999, -37.84 -6.678, -37.89 -6.678, -37.89 -6.627999999999999))"
