center_point;envelope
POINT (-38.37744495040739 -6.520692980000695);POLYGON ((-38.44765114025001 -6.402539999998778, -38.44760999999926 -6.402949999997873, -38.44125999999778 -6.404299999998329, -38.43798999999854 -6.409479999998439, -38.42568999999821 -6.413729999998395, -38.40567999999803 -6.409789999997884, -38.40267999999924 -6.409389999998893, -38.40138999999908 -6.409159999999247, -38.39119999999821 -6.415809999998601, -38.38783999999941 -6.418549999998504, -38.3826199999985 -6.424359999999069, -38.38158999999905 -6.431659999998374, -38.37476999999853 -6.436979999998584, -38.37330999999904 -6.455379999999423, -38.36343999999917 -6.453239999998914, -38.36061999999765 -6.461589999998978, -38.35487 -6.456819999999425, -38.34344999999848 -6.456249999999272, -38.33896999999888 -6.459729999998672, -38.33243999999831 -6.457789999998568, -38.32808999999907 -6.460259999998016, -38.31790999999794 -6.473379999999452, -38.31562999999915 -6.482019999997647, -38.31245999999919 -6.487879999998768, -38.31213999999818 -6.487729999998919, -38.31165999999939 -6.488469999998415, -38.30855999999767 -6.489129999998113, -38.29715999999826 -6.486809999998513, -38.29367999999886 -6.488999999997759, -38.28836999999839 -6.505219999999099, -38.26949999999852 -6.494039999997767, -38.26498999999784 -6.48907579383568, -38.26498999999784 -6.602539999998777, -38.46498999999785 -6.602539999998777, -38.46498999999785 -6.402539999998778, -38.44765114025001 -6.402539999998778))
POINT (-38.45672814055209 -6.391395317260178);MULTIPOLYGON (((-38.46498999999785 -6.39587600727087, -38.45170999999937 -6.392089999999371, -38.44848999999886 -6.394179999999324, -38.44765114025001 -6.402539999998778, -38.46498999999785 -6.402539999998778, -38.46498999999785 -6.39587600727087)), ((-38.46498999999785 -6.331090409637425, -38.45802999999796 -6.329819999999017, -38.46498999999785 -6.335932661379816, -38.46498999999785 -6.331090409637425)))
POINT (-38.16953246569598 -7.814240830061722);MULTIPOLYGON (((-38.07492694772155 -7.802539999998773, -38.07538999999815 -7.80497, -38.06595999999809 -7.817259999997987, -38.06902999999875 -7.825709999999162, -38.07671999999911 -7.830169999999271, -38.08019999999851 -7.828769999998258, -38.08298999999897 -7.827649999999267, -38.09688999999889 -7.826919999997699, -38.11970999999903 -7.818559999997888, -38.12379999999939 -7.812569999998232, -38.12208999999893 -7.807029999998122, -38.13080999999875 -7.803459999999177, -38.13084062885208 -7.802539999998773, -38.07492694772155 -7.802539999998773)), ((-38.19697097199184 -7.802539999998773, -38.20550999999796 -7.807279999999082, -38.22156999999788 -7.819979999998395, -38.2351099999978 -7.825549999997747, -38.23821999999927 -7.830319999999119, -38.25668999999834 -7.830659999997806, -38.26458999999886 -7.82756999999765, -38.26498999999784 -7.827776908765996, -38.26498999999784 -7.802539999998773, -38.19697097199184 -7.802539999998773)))
POINT (-38.16576362023907 -7.699775646612631);POLYGON ((-38.06498999999784 -7.768567846152667, -38.06912999999804 -7.771919999999227, -38.07486999999855 -7.788719999998648, -38.07312999999886 -7.793109999998705, -38.07492694772155 -7.802539999998773, -38.13084062885208 -7.802539999998773, -38.1310799999992 -7.795349999998507, -38.14340999999877 -7.782999999999447, -38.162049999999 -7.77955, -38.16231999999945 -7.779539999997723, -38.18363999999929 -7.795139999998355, -38.19697097199184 -7.802539999998773, -38.26498999999784 -7.802539999998773, -38.26498999999784 -7.602539999998774, -38.06498999999784 -7.602539999998774, -38.06498999999784 -7.768567846152667))
POINT (-38.16498999999784 -7.502539999998775);POLYGON ((-38.26498999999784 -7.602539999998774, -38.26498999999784 -7.402539999998774, -38.06498999999784 -7.402539999998774, -38.06498999999784 -7.602539999998774, -38.26498999999784 -7.602539999998774))
POINT (-38.16498999999784 -7.302539999998776);POLYGON ((-38.26498999999784 -7.402539999998774, -38.26498999999784 -7.202539999998775, -38.06498999999784 -7.202539999998775, -38.06498999999784 -7.402539999998774, -38.26498999999784 -7.402539999998774))
POINT (-38.16498999999784 -7.102539999998775);POLYGON ((-38.26498999999784 -7.202539999998775, -38.26498999999784 -7.002539999998776, -38.06498999999784 -7.002539999998776, -38.06498999999784 -7.202539999998775, -38.26498999999784 -7.202539999998775))
POINT (-38.16498999999784 -6.902539999998775);POLYGON ((-38.26498999999784 -7.002539999998776, -38.26498999999784 -6.802539999998777, -38.06498999999784 -6.802539999998777, -38.06498999999784 -7.002539999998776, -38.26498999999784 -7.002539999998776))
POINT (-38.16498999999784 -6.702539999998777);POLYGON ((-38.26498999999784 -6.802539999998777, -38.26498999999784 -6.602539999998777, -38.06498999999784 -6.602539999998777, -38.06498999999784 -6.802539999998777, -38.26498999999784 -6.802539999998777))
POINT (-38.16717339951905 -6.547486482295886);POLYGON ((-38.26498999999784 -6.48907579383568, -38.26105999999891 -6.484749999997803, -38.25617999999849 -6.482809999997698, -38.25253999999768 -6.485019999998258, -38.23887999999897 -6.479899999998452, -38.2286699999986 -6.4829499999978, -38.22676999999931 -6.483549999999013, -38.20019999999931 -6.487879999998768, -38.19190999999773 -6.497929999997723, -38.17283999999927 -6.499429999998029, -38.16081999999915 -6.498709999998027, -38.14752999999837 -6.491089999997712, -38.13516999999774 -6.518079999998008, -38.11985999999888 -6.521979999997711, -38.11670999999842 -6.522269999997661, -38.09763999999814 -6.509089999997741, -38.09504999999808 -6.493189999999231, -38.08266999999796 -6.485489999999118, -38.07051999999931 -6.463529999999082, -38.06626999999935 -6.460039999998116, -38.06498999999784 -6.459769230766904, -38.06498999999784 -6.602539999998777, -38.26498999999784 -6.602539999998777, -38.26498999999784 -6.48907579383568))
