;center_point;envelope
20;POINT (-72.59024991999999 -7.351583009999999);POLYGON ((-72.84024991999999 -7.601583009999999, -72.84024991999999 -7.101583009999999, -72.34024991999999 -7.101583009999999, -72.34024991999999 -7.601583009999999, -72.84024991999999 -7.601583009999999))
21;POINT (-72.59024991999999 -6.851583009999999);POLYGON ((-72.84024991999999 -7.101583009999999, -72.84024991999999 -6.601583009999999, -72.34024991999999 -6.601583009999999, -72.34024991999999 -7.101583009999999, -72.84024991999999 -7.101583009999999))
22;POINT (-72.59024991999999 -6.351583009999999);POLYGON ((-72.84024991999999 -6.601583009999999, -72.84024991999999 -6.101583009999999, -72.34024991999999 -6.101583009999999, -72.34024991999999 -6.601583009999999, -72.84024991999999 -6.601583009999999))
23;POINT (-72.59024991999999 -5.851583009999999);POLYGON ((-72.84024991999999 -6.101583009999999, -72.84024991999999 -5.601583009999999, -72.34024991999999 -5.601583009999999, -72.34024991999999 -6.101583009999999, -72.84024991999999 -6.101583009999999))
24;POINT (-72.58890455942974 -5.35294876962957);POLYGON ((-72.84024991999999 -5.148610372311451, -72.82172303999999 -5.14172502, -72.815445 -5.13812898, -72.81400788000001 -5.10937596, -72.79794612000001 -5.11483797, -72.78219684 -5.11216299, -72.77983596 -5.10311196, -72.77777847854153 -5.101583009999999, -72.76851915682218 -5.101583009999999, -72.76563791999999 -5.103315, -72.76378037923821 -5.101583009999999, -72.34024991999999 -5.101583009999999, -72.34024991999999 -5.601583009999999, -72.84024991999999 -5.601583009999999, -72.84024991999999 -5.148610372311451))
25;POINT (-72.47524513220235 -5.008525769903559);MULTIPOLYGON (((-72.76378037923821 -5.101583009999999, -72.75972312 -5.09779998, -72.75310703999999 -5.08241196, -72.73869587999999 -5.091138, -72.73639008000001 -5.08242996, -72.72965087999999 -5.07770298, -72.73524888 -5.07188601, -72.73372212 -5.06375397, -72.72525383999999 -5.065164, -72.72036107999999 -5.05868301, -72.71188812 -5.05862397, -72.70697088 -5.05253601, -72.69155207999999 -5.06424699, -72.67791816 -5.05452798, -72.66741983999999 -5.054823, -72.65208096000001 -5.06333898, -72.64816992 -5.05392003, -72.64091592 -5.04977697, -72.63916884 -5.05771398, -72.62894808 -5.05166103, -72.61052687999999 -5.036877, -72.60894107999999 -5.01632298, -72.60252696000001 -5.010588, -72.60175296 -5.00248998, -72.60610607999999 -4.99521798, -72.59205707999999 -4.99128498, -72.58591691999999 -4.98486798, -72.57688884 -4.98497796, -72.56905596 -4.98111696, -72.54711107999999 -4.958145, -72.53860607999999 -4.96137897, -72.52749215999999 -4.95780597, -72.52130591999999 -4.936608, -72.50516712 -4.94180298, -72.50805503999999 -4.95034002, -72.49755816 -4.95357201, -72.49011299999999 -4.93657299, -72.48461508 -4.94226396, -72.488133 -4.950216, -72.48111084 -4.95322002, -72.47553084 -4.94542602, -72.47616911999999 -4.92906798, -72.45755784000001 -4.92520302, -72.45730512 -4.91485401, -72.46526184 -4.90718304, -72.46838304000001 -4.903164, -72.46358496000001 -4.89606903, -72.45450108 -4.89533004, -72.45160992 -4.90338801, -72.44372484 -4.90117401, -72.44087508 -4.90782402, -72.43264511999999 -4.91097798, -72.42977916 -4.90249998, -72.41922396 -4.89745503, -72.41991804 -4.88738502, -72.42654492 -4.88077299, -72.41822000000001 -4.87782198, -72.41186412 -4.884543, -72.39853008 -4.87482498, -72.38512007999999 -4.87191501, -72.38427516 -4.85066097, -72.38083392 -4.84389297, -72.38296115999999 -4.83098103, -72.37563516 -4.82727204, -72.37108584000001 -4.80700404, -72.34727903999999 -4.80598596, -72.34024991999999 -4.800201389165651, -72.34024991999999 -5.101583009999999, -72.76378037923821 -5.101583009999999)), ((-72.77777847854153 -5.101583009999999, -72.77363784000001 -5.09850603, -72.76851915682218 -5.101583009999999, -72.77777847854153 -5.101583009999999)))
26;POINT (-72.02741260333435 -9.790529484809769);POLYGON ((-71.84024991999999 -10.00040921127867, -72.19894392 -10.00015002, -72.198099 -9.988066979999999, -72.17987687999999 -9.979715970000001, -72.17069112 -9.96785199, -72.17597916 -9.95299299, -72.17504604 -9.94328703, -72.18994000000001 -9.93719196, -72.19181484000001 -9.928778039999999, -72.18544104 -9.916203960000001, -72.17244215999999 -9.90750699, -72.16506108 -9.89235702, -72.154422 -9.88435602, -72.16057404 -9.874406970000001, -72.17129808 -9.861534000000001, -72.17168507999999 -9.83674098, -72.17961588 -9.833810039999999, -72.18070704 -9.82924803, -72.17788 -9.82188099, -72.16203312 -9.806253030000001, -72.148869 -9.79936704, -72.15315588 -9.79693299, -72.17580384 -9.78228, -72.20185812 -9.774424979999999, -72.21499596 -9.774403019999999, -72.22750092 -9.76231404, -72.23722092 -9.761984999999999, -72.24369012 -9.76610601, -72.25210691999999 -9.754216019999999, -72.26916516 -9.749746979999999, -72.27122616 -9.742625009999999, -72.26239104 -9.72647802, -72.26441892 -9.713521979999999, -72.25136495999999 -9.69055299, -72.25224984 -9.675946980000001, -72.24519384 -9.65720898, -72.259308 -9.640653029999999, -72.25235783999999 -9.61693002, -72.253638 -9.61229601, -72.25846811999999 -9.610967970000001, -72.27052992 -9.615013019999999, -72.28717667729694 -9.601583009999999, -71.84024991999999 -9.601583009999999, -71.84024991999999 -10.00040921127867))
27;POINT (-72.08713541522961 -9.348531662715416);POLYGON ((-72.28717667729694 -9.601583009999999, -72.28800216 -9.600917040000001, -72.28469303999999 -9.55903797, -72.28225008 -9.542315970000001, -72.294084 -9.53440902, -72.29910996 -9.534383999999999, -72.31297284 -9.54398898, -72.32038704 -9.54200097, -72.33000084 -9.53356698, -72.33199884 -9.53757396, -72.34024991999999 -9.540189191278332, -72.34024991999999 -9.101583009999999, -71.84024991999999 -9.101583009999999, -71.84024991999999 -9.601583009999999, -72.28717667729694 -9.601583009999999))
28;POINT (-72.09024991999999 -8.851583009999999);POLYGON ((-72.34024991999999 -9.101583009999999, -72.34024991999999 -8.601583009999999, -71.84024991999999 -8.601583009999999, -71.84024991999999 -9.101583009999999, -72.34024991999999 -9.101583009999999))
29;POINT (-72.09024991999999 -8.351583009999999);POLYGON ((-72.34024991999999 -8.601583009999999, -72.34024991999999 -8.101583009999999, -71.84024991999999 -8.101583009999999, -71.84024991999999 -8.601583009999999, -72.34024991999999 -8.601583009999999))
30;POINT (-72.09024991999999 -7.851583009999999);POLYGON ((-72.34024991999999 -8.101583009999999, -72.34024991999999 -7.601583009999999, -71.84024991999999 -7.601583009999999, -71.84024991999999 -8.101583009999999, -72.34024991999999 -8.101583009999999))
31;POINT (-72.09024991999999 -7.351583009999999);POLYGON ((-72.34024991999999 -7.601583009999999, -72.34024991999999 -7.101583009999999, -71.84024991999999 -7.101583009999999, -71.84024991999999 -7.601583009999999, -72.34024991999999 -7.601583009999999))
