;center_point;envelope
26;POINT (-38.60315397751463 -7.738833436347502);POLYGON ((-38.59998999999786 -7.740950975608442, -38.60721999999805 -7.73906999999781, -38.60726410199371 -7.737539999998763, -38.59998999999786 -7.737539999998763, -38.59998999999786 -7.740950975608442))
27;POINT (-38.61138099903661 -7.705524510155035);POLYGON ((-38.60726410199371 -7.737539999998763, -38.60760999999911 -7.725539999999455, -38.61635999999817 -7.713079999997717, -38.62496999999894 -7.707909999999174, -38.62607999999818 -7.694319999998697, -38.63829384987675 -7.687539999998762, -38.59998999999786 -7.687539999998762, -38.59998999999786 -7.737539999998763, -38.60726410199371 -7.737539999998763))
28;POINT (-38.62418906161706 -7.661764653349798);POLYGON ((-38.63829384987675 -7.687539999998762, -38.64095999999881 -7.686059999998179, -38.64173 -7.677229999999327, -38.64998999999786 -7.676734222935771, -38.64998999999786 -7.637539999998761, -38.59998999999786 -7.637539999998761, -38.59998999999786 -7.687539999998762, -38.63829384987675 -7.687539999998762))
29;POINT (-38.62498999999786 -7.612539999998762);POLYGON ((-38.64998999999786 -7.637539999998761, -38.64998999999786 -7.587539999998761, -38.59998999999786 -7.587539999998761, -38.59998999999786 -7.637539999998761, -38.64998999999786 -7.637539999998761))
30;POINT (-38.62498999999786 -7.562539999998759);POLYGON ((-38.64998999999786 -7.587539999998761, -38.64998999999786 -7.53753999999876, -38.59998999999786 -7.53753999999876, -38.59998999999786 -7.587539999998761, -38.64998999999786 -7.587539999998761))
31;POINT (-38.62298052364442 -7.514012729652391);POLYGON ((-38.64998999999786 -7.519348863078326, -38.64611999999943 -7.51712999999836, -38.64563999999882 -7.501519999997981, -38.63119080821668 -7.487539999998759, -38.59998999999786 -7.487539999998759, -38.59998999999786 -7.53753999999876, -38.64998999999786 -7.53753999999876, -38.64998999999786 -7.519348863078326))
32;POINT (-38.61774762036361 -7.470733457968725);POLYGON ((-38.63119080821668 -7.487539999998759, -38.63054999999804 -7.486919999999373, -38.63546999999926 -7.474609999999302, -38.64133999999831 -7.464559999998528, -38.64581999999791 -7.462929999997868, -38.64455999999882 -7.459609999998065, -38.60296999999809 -7.457189999999173, -38.60248999999931 -7.453149999999368, -38.60544999999911 -7.444169999998849, -38.59998999999786 -7.440831151076766, -38.59998999999786 -7.487539999998759, -38.63119080821668 -7.487539999998759))
33;POINT (-38.61155685852554 -7.207851303911337);POLYGON ((-38.59998999999786 -7.234997974683381, -38.60028999999849 -7.23435999999856, -38.6050699999978 -7.236469999998008, -38.61500999999771 -7.229779999997845, -38.61905999999908 -7.220319999998537, -38.62269999999808 -7.207269999998971, -38.61943999999858 -7.196649999998044, -38.62444999999934 -7.190919999999096, -38.63619999999901 -7.193349999997736, -38.64064909909767 -7.187539999998755, -38.59998999999786 -7.187539999998755, -38.59998999999786 -7.234997974683381))
34;POINT (-38.62472296613614 -7.162246212495248);POLYGON ((-38.64064909909767 -7.187539999998755, -38.64384999999857 -7.183359999999084, -38.64998999999786 -7.183681609036946, -38.64998999999786 -7.137539999998754, -38.59998999999786 -7.137539999998754, -38.59998999999786 -7.187539999998755, -38.64064909909767 -7.187539999998755))
35;POINT (-38.62498999999786 -7.112539999998754);POLYGON ((-38.64998999999786 -7.137539999998754, -38.64998999999786 -7.087539999998754, -38.59998999999786 -7.087539999998754, -38.59998999999786 -7.137539999998754, -38.64998999999786 -7.137539999998754))
36;POINT (-38.62498999999786 -7.062539999998753);POLYGON ((-38.64998999999786 -7.087539999998754, -38.64998999999786 -7.037539999998753, -38.59998999999786 -7.037539999998753, -38.59998999999786 -7.087539999998754, -38.64998999999786 -7.087539999998754))
37;POINT (-38.62498999999786 -7.012539999998753);POLYGON ((-38.64998999999786 -7.037539999998753, -38.64998999999786 -6.987539999998752, -38.59998999999786 -6.987539999998752, -38.59998999999786 -7.037539999998753, -38.64998999999786 -7.037539999998753))
38;POINT (-38.62498999999786 -6.962539999998753);POLYGON ((-38.64998999999786 -6.987539999998752, -38.64998999999786 -6.937539999998751, -38.59998999999786 -6.937539999998751, -38.59998999999786 -6.987539999998752, -38.64998999999786 -6.987539999998752))
39;POINT (-38.62498999999786 -6.91253999999875);POLYGON ((-38.64998999999786 -6.937539999998751, -38.64998999999786 -6.887539999998751, -38.59998999999786 -6.887539999998751, -38.59998999999786 -6.937539999998751, -38.64998999999786 -6.937539999998751))
40;POINT (-38.62498999999786 -6.86253999999875);POLYGON ((-38.64998999999786 -6.887539999998751, -38.64998999999786 -6.83753999999875, -38.59998999999786 -6.83753999999875, -38.59998999999786 -6.887539999998751, -38.64998999999786 -6.887539999998751))
41;POINT (-38.6231803326631 -6.814673513926655);POLYGON ((-38.64998999999786 -6.808751419556322, -38.64807999999903 -6.806979999999385, -38.63510999999926 -6.804219999998168, -38.64196999999876 -6.791279999997641, -38.6397799999977 -6.788789999998698, -38.62911999999778 -6.789499999998952, -38.61705999999867 -6.793579999997746, -38.61523334488574 -6.787539999998749, -38.59998999999786 -6.787539999998749, -38.59998999999786 -6.83753999999875, -38.64998999999786 -6.83753999999875, -38.64998999999786 -6.808751419556322))
42;POINT (-38.6214702344319 -6.758097629692436);POLYGON ((-38.61523334488574 -6.787539999998749, -38.61356999999771 -6.782039999998233, -38.62866999999824 -6.777309999997669, -38.63990999999805 -6.763589999998658, -38.64998999999786 -6.760156956520346, -38.64998999999786 -6.752572386829264, -38.64961999999832 -6.751839999998992, -38.64998999999786 -6.751278148147797, -38.64998999999786 -6.737539999998749, -38.59998999999786 -6.737539999998749, -38.59998999999786 -6.787539999998749, -38.61523334488574 -6.787539999998749))
43;POINT (-38.62498999999786 -6.712539999998749);POLYGON ((-38.64998999999786 -6.737539999998749, -38.64998999999786 -6.687539999998748, -38.59998999999786 -6.687539999998748, -38.59998999999786 -6.737539999998749, -38.64998999999786 -6.737539999998749))
44;POINT (-38.62452824570213 -6.662606374740978);POLYGON ((-38.64998999999786 -6.669649136838619, -38.64685999999892 -6.663599999998041, -38.64660999999796 -6.653809999997975, -38.64998999999786 -6.649828814228005, -38.64998999999786 -6.637539999998747, -38.59998999999786 -6.637539999998747, -38.59998999999786 -6.687539999998748, -38.64998999999786 -6.687539999998748, -38.64998999999786 -6.669649136838619))
45;POINT (-38.62098208585176 -6.615260706660078);POLYGON ((-38.64998999999786 -6.627760456769034, -38.64877999999771 -6.627189999999246, -38.64630999999827 -6.615579999997863, -38.62880999999834 -6.604179999998451, -38.63228999999774 -6.590139999998428, -38.6351261111086 -6.587539999998747, -38.59998999999786 -6.587539999998747, -38.59998999999786 -6.637539999998747, -38.64998999999786 -6.637539999998747, -38.64998999999786 -6.627760456769034))
